episode_number,title,published,episode_url,transcript_available,transcript_file,transcript_source
1,1. Body Shaming and Proprioceptive Fat,"18th September, 2020",https://pilates-elephants.breathe-education.com/episode/episode-1,no,,
2,2. imPostURE Syndrome,"25th September, 2020",https://pilates-elephants.breathe-education.com/episode/episode-2,no,,
3,"3. Educator, Educate Thyself","4th October, 2020",https://pilates-elephants.breathe-education.com/episode/educator,no,,
4,4. Your Brain Is A Liar,"11th October, 2020",https://pilates-elephants.breathe-education.com/episode/your-brain-is-a-liar,no,,
5,5. Good and Bad Muscles,"18th October, 2020",https://pilates-elephants.breathe-education.com/episode/good-and-bad-muscles,no,,
6,6. Is Alignment Important?,"25th October, 2020",https://pilates-elephants.breathe-education.com/episode/is-technique-important,no,,
7,7. The Dangers of Safety Culture,"1st November, 2020",https://pilates-elephants.breathe-education.com/episode/7-the-dangers-of-safety-culture,no,,
8,8. Pregnancy Elephants,"8th November, 2020",https://pilates-elephants.breathe-education.com/episode/8-pregnancy-elephants,no,,
9,9. Hands On Assists?,"15th November, 2020",https://pilates-elephants.breathe-education.com/episode/6-hands-on-assists,no,,
10,10. Fascia-nating,"22nd November, 2020",https://pilates-elephants.breathe-education.com/episode/10-fascia-nating,no,,
11,11. Nonsensical Cues,"29th November, 2020",https://pilates-elephants.breathe-education.com/episode/10-nonsensical-cues,no,,
12,12. Teaching Online,"6th December, 2020",https://pilates-elephants.breathe-education.com/episode/12-teaching-online,no,,
13,13. Cueing Elephants,"13th December, 2020",https://pilates-elephants.breathe-education.com/episode/cueing,no,,
14,14. WTF is Core Stability?,"20th December, 2020",https://pilates-elephants.breathe-education.com/episode/14-core-stability,no,,
15,"15. Industry Bodies: All Cost, No Benefit","27th December, 2020",https://pilates-elephants.breathe-education.com/episode/15-industry-bodies,no,,
16,16. Scoliosis,"3rd January, 2021",https://pilates-elephants.breathe-education.com/episode/15-scoliosis,no,,
17,17. Perfectionism and ImposTER syndrome,"10th January, 2021",https://pilates-elephants.breathe-education.com/episode/17-perfectionism-and-imposter-syndrome,no,,
18,18. Heavy weights bulk you up like a Elephant,"17th January, 2021",https://pilates-elephants.breathe-education.com/episode/18-do-heavy-springs-bulk-you-up,no,,
19,19. Can correcting foot posture fix shoulder pain?,"24th January, 2021",https://pilates-elephants.breathe-education.com/episode/can-correcting-foot-posture-fix-shoulder-pain,no,,
20,20. Navigating difficult professional conversations,"31st January, 2021",https://pilates-elephants.breathe-education.com/episode/navigating-difficult-professional-conversations,no,,
21,21. Stretching... The Truth,"7th February, 2021",https://pilates-elephants.breathe-education.com/episode/flexibility,no,,
22,22. Be Yourself,"14th February, 2021",https://pilates-elephants.breathe-education.com/episode/22-be-yourself,no,,
23,23. Hypermobility,"21st February, 2021",https://pilates-elephants.breathe-education.com/episode/22-hypermobility,no,,
24,24. Caged Lion: The John Steel Interview,"28th February, 2021",https://pilates-elephants.breathe-education.com/episode/24-caged-lion-the-john-steel-interview,no,,
25,25. Radical Candor,"7th March, 2021",https://pilates-elephants.breathe-education.com/episode/25-radical-candour,no,,
26,26. Osteoporosis,"14th March, 2021",https://pilates-elephants.breathe-education.com/episode/26-osteoporosis,no,,
27,27. Headrest Up Or Down?,"21st March, 2021",https://pilates-elephants.breathe-education.com/episode/headrest-up-or-down,no,,
28,28. How to teach movement skills with Gaby Wulf & Rebecca Lewthwaite,"28th March, 2021",https://pilates-elephants.breathe-education.com/episode/28-interview-with-gaby-wulf-rebecca-lewthwaite,no,,
29,29. Scapular Stability?,"4th April, 2021",https://pilates-elephants.breathe-education.com/episode/29-scapular-stability,no,,
